FileName, CommitSha
sentinel-deployment.config,5ea3acb1a108efcc1ca5c9ee95f8013e35e2badd
CustomDetection/HelloFromGithub.bicep,82757a74ab5ff8b35f2ad9f81bf9420ed266391a

